city,company,headquarters,lon,lat
"San Francisco, California, U.S.",Uber,"Uber, San Francisco, California, U.S.",-122.4179707,37.7756852
"Haidian District, Beijing, China",Xiaomi,"Xiaomi, Haidian District, Beijing, China",116.337475,40.026678
"No. 969 West Wen Yi Road, Yuhang District, Hangzhou, Zhejiang ",Alibaba,"Alibaba, No. 969 West Wen Yi Road, Yuhang District, Hangzhou, Zhejiang ",120.0229089,30.2774719
ShanghaiChina,Lufax,"Lufax, ShanghaiChina",-74.0112654,40.706877
"New York City, NY, United States",UiPath,"UiPath, New York City, NY, United States",-73.97921459999999,40.7506982
"San Francisco, California",Airbnb,"Airbnb, San Francisco, California",-122.4053769,37.771707
"Beijing, China",Meituan-Dianping,"Meituan-Dianping, Beijing, China",116.4073963,39.90419989999999
"Bangalore, Karnataka, India ",Flipkart,"Flipkart, Bangalore, Karnataka, India ",77.6927959,12.9267585
"Beijing, China",Kuaishou,"Kuaishou, Beijing, China",116.503605,40.03716
"San Francisco, California, U.S.",Doordash,"Doordash, San Francisco, California, U.S.",-122.3953084,37.7851845
"Ningde, Fujian Province, China",CATL,"CATL, Ningde, Fujian Province, China",119.547932,26.665617
"Santa Monica, California, U.S.",Snap Inc,"Snap Inc, Santa Monica, California, U.S.",-118.4534959,34.0162966
"Shenzhen, China",Tencent Music,"Tencent Music, Shenzhen, China",-73.9425538,40.8947334
"San Francisco, California, U.S.",Lyft,"Lyft, San Francisco, California, U.S.",-122.3920774,37.7765663
"Amsterdam, Netherl",Adyen,"Adyen, Amsterdam, Netherl",4.905899799999999,52.3766216
"Shanghai, China",Pinduoduo,"Pinduoduo, Shanghai, China",121.48337,31.235016
"San Francisco, California, U.S.",Okta,"Okta, San Francisco, California, U.S.",-122.3976135,37.789152
"San Francisco, California, U.S.",Pinterest,"Pinterest, San Francisco, California, U.S.",-122.399961,37.775454
"Bozeman, Montana",Snowflake,"Snowflake, Bozeman, Montana",-111.1752275,45.06104
"San Francisco, California, United States",Dropbox,"Dropbox, San Francisco, California, United States",-122.3930163,37.766053
"San Francisco, California, U.S.",Zynga,"Zynga, San Francisco, California, U.S.",-122.4036654,37.7709273
"Stockholm, Sweden",Spotify,"Spotify, Stockholm, Sweden",18.0629775,59.34183709999999
"San Francisco, California United States",Twitter,"Twitter, San Francisco, California United States",-122.4172004,37.7764685
"London, Engl",Deliveroo,"Deliveroo, London, Engl",-0.0912578,51.5101173
"New York, New York, United States",Compass,"Compass, New York, New York, United States",-73.9693662,40.7613806
"San Francisco, California, United States",Square,"Square, San Francisco, California, United States",-122.4175931,37.7752314
"Lake Bluff, Illinois, United States",Stemcentrx,"Stemcentrx, Lake Bluff, Illinois, United States",-87.85750759999999,42.2844579
"Chicago, Illinois, United States",Groupon,"Groupon, Chicago, Illinois, United States",-87.6433014,41.8975264
"Berlin, Germany",Zalando,"Zalando, Berlin, Germany",13.432981,52.505531
New York City,Peloton,"Peloton, New York City",-73.99432329999999,40.7433479
"595 Market StreetSan Francisco, California, U.S.",Lending Club,"Lending Club, 595 Market StreetSan Francisco, California, U.S.",-122.4008042,37.789187
Singapore,Sea Limited,"Sea Limited, Singapore",103.8528783,1.3331458
"Beijing, China",Zhihu,"Zhihu, Beijing, China",-79.39565640000001,43.6628917
"Sydney, Australia",Atlassian,"Atlassian, Sydney, Australia",151.2065778,-33.867077
"Nashville, Tennessee, United States",SmileDirectClub,"SmileDirectClub, Nashville, Tennessee, United States",-86.7808709,36.1649101
"San Francisco, California, U.S.",Cloudflare,"Cloudflare, San Francisco, California, U.S.",-122.3907504,37.7802866
"Mountain View, California",Pure Storage,"Pure Storage, Mountain View, California",-122.0830261,37.3878672
China,Maoyan,"Maoyan, China",111.6679913,40.8396903
"Xiamen, Fujian, China",Luckin Coffee,"Luckin Coffee, Xiamen, Fujian, China",118.089425,24.479833
"San Francisco, California, U.S.Palo Alto, California, U.S.",Pivotal,"Pivotal, San Francisco, California, U.S.Palo Alto, California, U.S.",-122.40403740000001,37.7818717
"Beijing, China",Ucommune,"Ucommune, Beijing, China",116.306035,40.075920000000004
"Mountain View, California, U.S.",Coursera,"Coursera, Mountain View, California, U.S.",-122.060844,37.3868492
"San Francisco, California, United States",Postmates,"Postmates, San Francisco, California, United States",-122.3999147,37.7850203
"Redwood City, California, U.S.",Box,"Box, Redwood City, California, U.S.",-122.2292839,37.4849566
"San Mateo, California, U.S.",GoPro,"GoPro, San Mateo, California, U.S.",-122.3310388,37.5343456
"San Jose, California, U.S.","Roku, Inc.","Roku, Inc., San Jose, California, U.S.",-121.9273114,37.3525994
"San Francisco, CA, United States",AppDynamics,"AppDynamics, San Francisco, CA, United States",-122.395776,37.785712
"4 Copley PlaceBoston, Massachusetts, U.S.",Wayfair,"Wayfair, 4 Copley PlaceBoston, Massachusetts, U.S.",-71.0772282,42.34872550000001
"San Jose, California, United States",Nutanix,"Nutanix, San Jose, California, United States",-121.9181103,37.367648
"Jerusalem, Israel",Mobileye,"Mobileye, Jerusalem, Israel",35.212711,31.80313
"California,United States",MedMen,"MedMen, California,United States",-118.3673194,34.0905364
"Palo Alto, California, United States",Better Place,"Better Place, Palo Alto, California, United States",-122.1132559,37.45185480000001
"London, Engl",Farfetch,"Farfetch, London, Engl",-0.0889932,51.5262825
"New York, New York, United States",Freshly,"Freshly, New York, New York, United States",-73.9855319,40.740063
"San Francisco, California, U.S.",MuleSoft,"MuleSoft, San Francisco, California, U.S.",-122.3972074,37.7899024
"Chicago, U.S.",LivingSocial,"LivingSocial, Chicago, U.S.",-87.62694940000002,41.8882056
"Mountain View, California, United States",WhatsApp,"WhatsApp, Mountain View, California, United States",-122.0840897,37.4220656
"Bangalore, India",Quikr,"Quikr, Bangalore, India",77.6256575,13.0580013
"Bedford, New Hampshire, U.S.",Ninebot,"Ninebot, Bedford, New Hampshire, U.S.",-71.45675059999999,42.9281617
"Austin, Texas, United States",HomeAway,"HomeAway, Austin, Texas, United States",-97.7552903,30.270156
"Santa Clara, California, United States",Jasper,"Jasper, Santa Clara, California, United States",-121.9811741,37.4064187
"San Francisco, California",Sunrun,"Sunrun, San Francisco, California",-122.4012094,37.7908857
"40th floor Samsung Electronics Building, 11, Seocho-daero 74-gil, Seocho District, Seoul, South Korea",Solstice,"Solstice, 40th floor Samsung Electronics Building, 11, Seocho-daero 74-gil, Seocho District, Seoul, South Korea",127.0269023,37.4966085
"Sunnyvale, California",Good Technology,"Good Technology, Sunnyvale, California",-122.0390618,37.3900725
